@relation clima

@attribute data date 'dd/MM/yyyy'

@attribute direcao_vento integer
@attribute velocidade_vento real
@attribute velocidade_rajada real

@attribute insolacao_total real

@attribute dias_chuvosos integer
@attribute precipitacao_total real

@attribute temperatura_maxima real
@attribute temperatura_media real
@attribute temperatura_minima real

@attribute umidade_media real

@data
01/10/1979,36,5.423188,10.6,?,7,21.1,26.965217,23.771304,21.13913,90.434783
01/11/1979,36,4.737681,9.5,?,8,14.4,28.843478,25.278261,22.265217,90.806818
01/12/1979,36,4.256364,9.5,?,4,49.2,30.316667,26.428889,23.222222,93.041667
01/01/1980,36,4.556522,10,155.2,13,201.4,29.16129,25.447742,22.719355,91.91129
01/02/1980,36,4.476563,9.5,?,12,56,30.295238,26.534286,23.714286,90.75
01/03/1980,36,4.367123,8.5,218.3,9,44.4,30.916,26.516667,23.516,89.510417
01/04/1980,23,4.17037,8.6,99.9,17,178.7,28.562963,24.86,22.418519,93.527778
01/05/1980,36,3.238889,6.1,172.4,3,30.1,28.0625,24.269167,21.3625,93.458333
01/06/1980,18,3.427586,9.1,?,10,40.5,25.489474,22.152632,19.568421,90.75
01/07/1980,?,?,8.3,?,0,0,26.96,22.618667,19.473333,87.716667
01/08/1980,36,4.470833,9.1,156.7,10,11.6,26.825,22.765,20.133333,87.5
01/09/1980,?,?,8.6,?,2,4.5,?,?,?,?
01/10/1980,36,4.833333,10,151.4,11,54,27.816667,23.955833,20.925,85.552083
01/11/1980,?,?,?,?,6,22.3,?,?,?,?
01/12/1980,36,4.62931,8,?,8,32.6,30.026316,26.118947,23.484211,85.907895
01/01/1981,32,4.730233,9.1,190.8,11,79,30.651724,26.372414,23.517241,84.715517
01/02/1981,36,3.774603,8.1,?,10,62.9,30.685714,26.560952,23.652381,84.940476
01/03/1981,32,4.00625,8.8,?,8,52.9,29.980952,26.38,23.614286,87.690476
01/04/1981,18,4.351515,10.6,?,7,57.9,27.663636,24.1,21.509091,89.125
01/05/1981,18,2.841935,6.3,?,10,30.5,26.495238,22.901905,20.257143,88.190476
01/06/1981,18,3.631667,8.3,?,7,18.6,25.585,21.976,19.61,87.05
01/07/1981,?,?,9.5,?,1,2.2,25.347059,21.647059,19.264706,85.691176
01/08/1981,36,4.298305,9.5,?,5,13.3,25.69,21.817,19.16,85.8
01/09/1981,5,5.914103,10.1,176.3,1,0.1,27.688462,23.323846,20.461538,80.788462
01/10/1981,27,4.612698,10,?,8,11.9,26.152381,23.019048,20.342857,84.571429
01/11/1981,36,4.523333,10,?,14,176.8,27.92,24.538,21.94,89.55
01/12/1981,36,5.562319,9.5,?,3,10.6,30.008696,25.896522,22.882609,82.815217
01/01/1982,27,4.489474,8.3,?,13,64.3,29.138889,25.323333,22.55,84.697368
01/02/1982,36,4.241667,8,234.7,10,54.6,29.828571,26.29,23.435714,82.401786
01/03/1982,32,3.905,8.6,?,12,45.8,?,?,?,85.7125
01/04/1982,18,3.942667,8.1,148.3,8,59,?,?,?,84.13
01/05/1982,18,3.212903,9.6,?,15,164.2,25.18,22.193333,20.086667,86.903226
01/06/1982,36,3.52,8.3,207,3,7.2,27.27,23.040667,19.906667,85.5
01/07/1982,18,3.690323,10.1,?,12,16.4,25.921739,22.150435,20.030435,85.5
01/08/1982,36,4.442029,7.6,?,5,14.6,?,?,?,85.608696
01/09/1982,14,4.811594,9,?,7,12,?,?,?,86.271739
01/10/1982,5,4.819737,9.3,120.2,6,16.9,?,?,?,84.72
01/11/1982,5,5.3925,9.5,207.6,6,15.4,?,?,?,81.898148
01/12/1982,18,4.72027,9.3,132.4,13,92.6,?,?,?,84.58
01/01/1983,36,4.206452,8.5,129.3,18,266.9,?,?,?,87.137097
01/02/1983,36,3.760714,8.1,183.8,16,178.1,?,?,?,86.714286
01/03/1983,5,4.329032,8.3,190.8,14,60.6,?,?,?,85.572581
01/04/1983,36,3.205556,7.5,164.3,16,130.2,?,?,?,84.033333
01/05/1983,36,3.804301,7.8,203,6,37.6,?,?,?,80.991935
01/06/1983,36,3.437778,8,214.2,4,21.8,?,?,?,81.408333
01/07/1983,36,3.790323,9.1,191.5,6,27.2,?,?,?,81.129032
01/08/1983,36,4.317204,11,228.1,7,25.3,?,?,?,80.580645
01/09/1983,36,3.866667,8.3,53,20,191.7,?,?,?,87.558333
01/10/1983,36,4.010753,10.8,129.9,21,271.6,?,?,?,85.33871
01/11/1983,36,3.926667,8.1,129,16,386.5,?,?,?,85.133333
01/12/1983,36,4.153763,8.6,183.3,14,425.1,?,?,?,85.814516
01/01/1984,?,?,?,?,0,0,?,?,?,?
01/02/1984,?,?,?,?,?,?,?,?,?,?
01/03/1984,?,?,?,?,?,?,?,?,?,?
01/04/1984,?,?,?,?,?,?,?,?,?,?
01/05/1984,?,?,?,?,?,?,?,?,?,?
01/06/1984,?,?,?,?,?,?,?,?,?,?
01/07/1984,?,?,?,?,?,?,?,?,?,?
01/08/1984,?,?,?,?,?,?,?,?,?,?
01/09/1984,?,?,?,?,?,?,?,?,?,?
01/10/1984,?,?,?,?,?,?,?,?,?,?
01/11/1984,?,?,?,?,?,?,?,?,?,?
01/12/1984,?,?,?,?,?,?,?,?,?,?
01/01/1985,?,?,?,?,?,?,?,?,?,?
01/02/1985,?,?,?,?,?,?,?,?,?,?
01/03/1985,?,?,?,?,?,?,?,?,?,?
01/04/1985,?,?,?,?,?,?,?,?,?,?
01/05/1985,?,?,?,?,?,?,?,?,?,?
01/06/1985,?,?,?,?,?,?,?,?,?,?
01/07/1985,?,?,?,?,?,?,?,?,?,?
01/08/1985,?,?,?,?,?,?,?,?,?,?
01/09/1985,?,?,?,?,?,?,?,?,?,?
01/10/1985,?,?,?,?,?,?,?,?,?,?
01/11/1985,?,?,?,?,?,?,?,?,?,?
01/12/1985,?,?,?,?,?,?,?,?,?,?
01/01/1986,?,?,?,247,?,?,?,?,?,?
01/02/1986,?,?,?,146.7,?,?,?,?,?,?
01/03/1986,?,?,?,?,?,?,?,?,?,?
01/04/1986,?,?,?,217.8,?,?,?,?,?,?
01/05/1986,?,?,?,?,?,?,?,?,?,?
01/06/1986,?,?,?,196.5,?,?,?,?,?,?
01/07/1986,?,?,?,188,?,?,?,?,?,?
01/08/1986,?,?,?,207.5,?,?,?,?,?,?
01/09/1986,?,?,?,185.2,?,?,?,?,?,?
01/10/1986,?,?,?,182.6,?,?,?,?,?,?
01/11/1986,?,?,?,223.6,?,?,?,?,?,?
01/12/1986,?,?,?,147.4,?,?,?,?,?,?
01/01/1987,?,?,?,221.9,?,?,?,?,?,?
01/02/1987,?,?,?,230.4,?,?,?,?,?,?
01/03/1987,?,?,?,185.9,?,?,?,?,?,?
01/04/1987,?,?,?,217.5,?,?,?,?,?,?
01/05/1987,?,?,?,173.3,?,?,?,?,?,?
01/06/1987,?,?,?,165.9,?,?,?,?,?,?
01/07/1987,?,?,?,208.6,?,?,?,?,?,?
01/08/1987,?,?,?,211.4,?,?,?,?,?,?
01/09/1987,?,?,?,?,?,?,?,?,?,?
01/10/1987,?,?,?,177.7,?,?,?,?,?,?
01/11/1987,?,?,?,138.4,?,?,?,?,?,?
01/12/1987,?,?,?,142.3,?,?,?,?,?,?
01/01/1988,?,?,?,228.7,?,?,?,?,?,?
01/02/1988,?,?,?,227.8,?,?,?,?,?,?
01/03/1988,?,?,?,198.7,?,?,?,?,?,?
01/04/1988,?,?,?,175.1,?,?,?,?,?,?
01/05/1988,?,?,?,203.9,?,?,?,?,?,?
01/06/1988,?,?,?,168.5,?,?,?,?,?,?
01/07/1988,?,?,?,179.4,?,?,?,?,?,?
01/08/1988,?,?,?,175.6,?,?,?,?,?,?
01/09/1988,?,?,?,177.6,?,?,?,?,?,?
01/10/1988,?,?,?,104.7,?,?,?,?,?,?
01/11/1988,?,?,?,125.4,?,?,?,?,?,?
01/12/1988,?,?,?,177.2,?,?,?,?,?,?
01/01/1989,?,?,?,241.1,?,?,?,?,?,?
01/02/1989,?,?,?,252.6,?,?,?,?,?,?
